CodCliente,Fecha,FechaTS,Cantidad,FormaIngreso,Medida,Temporada,Sintetico
193,2011-11-03 09:48:00,2011-11-03,37.5,HUMEDO,LATAS,1,False
237,2011-11-03 09:51:00,2011-11-03,17.0,HUMEDO,LATAS,1,False
54,2011-11-03 15:54:00,2011-11-03,202.75,HUMEDO,LATAS,1,False
54,2011-11-04 15:05:00,2011-11-04,78.0,HUMEDO,LATAS,1,False
137,2011-11-04 15:32:00,2011-11-04,90.25,HUMEDO,LATAS,1,False
46,2011-11-04 08:54:00,2011-11-04,14.25,HUMEDO,LATAS,1,False
282,2011-11-04 09:27:00,2011-11-04,90.75,HUMEDO,LATAS,1,False
54,2011-11-05 07:53:00,2011-11-05,15.5,HUMEDO,LATAS,1,False
177,2011-11-05 09:17:00,2011-11-05,10.25,HUMEDO,LATAS,1,False
56,2011-11-05 10:06:00,2011-11-05,15.0,HUMEDO,LATAS,1,False
54,2011-11-05 13:39:00,2011-11-05,62.75,HUMEDO,LATAS,1,False
114,2011-11-05 17:00:00,2011-11-05,25.0,HUMEDO,LATAS,1,False
137,2011-11-05 17:02:00,2011-11-05,78.75,HUMEDO,LATAS,1,False
38,2011-11-05 17:04:00,2011-11-05,55.0,HUMEDO,LATAS,1,False
46,2011-11-07 09:54:00,2011-11-07,14.5,HUMEDO,LATAS,1,False
113,2011-11-07 10:41:00,2011-11-07,72.75,HUMEDO,LATAS,1,False
114,2011-11-07 13:29:00,2011-11-07,84.25,HUMEDO,LATAS,1,False
54,2011-11-07 13:31:00,2011-11-07,58.0,HUMEDO,LATAS,1,False
267,2011-11-07 13:54:00,2011-11-07,68.25,HUMEDO,LATAS,1,False
267,2011-11-07 14:05:00,2011-11-07,281.25,HUMEDO,LATAS,1,False
114,2011-11-08 08:42:00,2011-11-08,76.0,HUMEDO,LATAS,1,False
54,2011-11-08 15:49:00,2011-11-08,28.0,HUMEDO,LATAS,1,False
193,2011-11-08 08:34:00,2011-11-08,20.25,HUMEDO,LATAS,1,False
125,2011-11-08 12:54:00,2011-11-08,33.0,HUMEDO,LATAS,1,False
237,2011-11-08 08:32:00,2011-11-08,75.0,HUMEDO,LATAS,1,False
310,2011-11-08 11:36:00,2011-11-08,82.0,HUMEDO,LATAS,1,False
193,2011-11-08 08:27:00,2011-11-08,43.5,HUMEDO,LATAS,1,False
177,2011-11-08 08:22:00,2011-11-08,4.0,HUMEDO,LATAS,1,False
251,2011-11-08 08:20:00,2011-11-08,64.25,HUMEDO,LATAS,1,False
251,2011-11-08 08:18:00,2011-11-08,82.5,HUMEDO,LATAS,1,False
251,2011-11-08 08:15:00,2011-11-08,88.0,HUMEDO,LATAS,1,False
282,2011-11-08 08:30:00,2011-11-08,61.0,HUMEDO,LATAS,1,False
267,2011-11-09 08:03:00,2011-11-09,9.0,HUMEDO,LATAS,1,False
113,2011-11-09 13:05:00,2011-11-09,68.0,HUMEDO,LATAS,1,False
125,2011-11-09 14:53:00,2011-11-09,65.0,HUMEDO,LATAS,1,False
54,2011-11-09 16:29:00,2011-11-09,46.75,HUMEDO,LATAS,1,False
38,2011-11-10 16:29:00,2011-11-10,112.0,HUMEDO,LATAS,1,False
175,2011-11-10 14:09:00,2011-11-10,82.75,HUMEDO,LATAS,1,False
46,2011-11-10 13:51:00,2011-11-10,73.25,HUMEDO,LATAS,1,False
114,2011-11-10 07:56:00,2011-11-10,84.5,HUMEDO,LATAS,1,False
251,2011-11-10 12:39:00,2011-11-10,81.5,HUMEDO,LATAS,1,False
46,2011-11-10 07:41:00,2011-11-10,66.5,HUMEDO,LATAS,1,False
251,2011-11-10 12:40:00,2011-11-10,75.0,HUMEDO,LATAS,1,False
46,2011-11-11 12:02:00,2011-11-11,51.25,HUMEDO,LATAS,1,False
54,2011-11-11 13:32:00,2011-11-11,61.75,HUMEDO,LATAS,1,False
14,2011-11-12 14:38:00,2011-11-12,26.5,HUMEDO,LATAS,1,False
251,2011-11-12 14:16:00,2011-11-12,81.25,HUMEDO,LATAS,1,False
251,2011-11-12 14:04:00,2011-11-12,83.0,HUMEDO,LATAS,1,False
54,2011-11-12 10:31:00,2011-11-12,50.75,HUMEDO,LATAS,1,False
234,2011-11-12 10:26:00,2011-11-12,5.75,HUMEDO,LATAS,1,False
234,2011-11-12 10:22:00,2011-11-12,15.5,HUMEDO,LATAS,1,False
251,2011-11-12 10:23:00,2011-11-12,65.0,HUMEDO,LATAS,1,False
251,2011-11-12 10:20:00,2011-11-12,79.5,HUMEDO,LATAS,1,False
38,2011-11-12 10:18:00,2011-11-12,161.25,HUMEDO,LATAS,1,False
237,2011-11-12 09:01:00,2011-11-12,79.0,HUMEDO,LATAS,1,False
54,2011-11-12 10:25:00,2011-11-12,85.5,HUMEDO,LATAS,1,False
193,2011-11-13 16:23:00,2011-11-13,72.75,HUMEDO,LATAS,1,False
83,2011-11-13 14:55:00,2011-11-13,75.75,HUMEDO,LATAS,1,False
54,2011-11-13 15:06:00,2011-11-13,65.0,HUMEDO,LATAS,1,False
251,2011-11-13 10:48:00,2011-11-13,85.75,HUMEDO,LATAS,1,False
114,2011-11-13 09:11:00,2011-11-13,72.25,HUMEDO,LATAS,1,False
237,2011-11-13 12:17:00,2011-11-13,25.25,HUMEDO,LATAS,1,False
251,2011-11-14 08:09:00,2011-11-14,86.0,HUMEDO,LATAS,1,False
267,2011-11-15 15:44:00,2011-11-15,20.25,HUMEDO,LATAS,1,False
344,2011-11-15 09:53:00,2011-11-15,16.0,HUMEDO,LATAS,1,False
344,2011-11-15 10:16:00,2011-11-15,64.5,HUMEDO,LATAS,1,False
344,2011-11-15 10:18:00,2011-11-15,10.5,HUMEDO,LATAS,1,False
177,2011-11-15 15:20:00,2011-11-15,25.75,HUMEDO,LATAS,1,False
177,2011-11-15 15:21:00,2011-11-15,1.0,HUMEDO,LATAS,1,False
267,2011-11-15 15:41:00,2011-11-15,40.0,HUMEDO,LATAS,1,False
45,2011-11-16 12:26:00,2011-11-16,74.5,HUMEDO,LATAS,1,False
46,2011-11-16 10:31:00,2011-11-16,22.5,HUMEDO,LATAS,1,False
251,2011-11-16 15:17:00,2011-11-16,84.75,HUMEDO,LATAS,1,False
54,2011-11-16 13:38:00,2011-11-16,96.0,HUMEDO,LATAS,1,False
230,2011-11-16 08:54:00,2011-11-16,60.5,HUMEDO,LATAS,1,False
251,2011-11-16 08:48:00,2011-11-16,85.5,HUMEDO,LATAS,1,False
125,2011-11-16 08:50:00,2011-11-16,40.0,HUMEDO,LATAS,1,False
193,2011-11-16 08:52:00,2011-11-16,25.5,HUMEDO,LATAS,1,False
33,2011-11-16 08:47:00,2011-11-16,37.0,HUMEDO,LATAS,1,False
54,2011-11-16 08:18:00,2011-11-16,53.0,HUMEDO,LATAS,1,False
46,2011-11-17 17:22:00,2011-11-17,16.0,HUMEDO,LATAS,1,False
54,2011-11-17 11:54:00,2011-11-17,66.75,HUMEDO,LATAS,1,False
251,2011-11-17 11:41:00,2011-11-17,100.75,HUMEDO,LATAS,1,False
105,2011-11-17 09:38:00,2011-11-17,26.25,HUMEDO,LATAS,1,False
193,2011-11-17 17:09:00,2011-11-17,77.25,HUMEDO,LATAS,1,False
45,2011-11-17 08:40:00,2011-11-17,80.0,HUMEDO,LATAS,1,False
54,2011-11-17 08:35:00,2011-11-17,26.25,HUMEDO,LATAS,1,False
310,2011-11-17 08:04:00,2011-11-17,43.75,HUMEDO,LATAS,1,False
46,2011-11-17 09:06:00,2011-11-17,62.0,HUMEDO,LATAS,1,False
344,2011-11-18 09:26:00,2011-11-18,14.75,HUMEDO,LATAS,1,False
237,2011-11-18 09:57:00,2011-11-18,68.25,HUMEDO,LATAS,1,False
105,2011-11-18 13:13:00,2011-11-18,4.75,HUMEDO,LATAS,1,False
251,2011-11-18 15:26:00,2011-11-18,256.0,HUMEDO,LATAS,1,False
45,2011-11-18 15:33:00,2011-11-18,100.25,HUMEDO,LATAS,1,False
54,2011-11-18 16:12:00,2011-11-18,131.75,HUMEDO,LATAS,1,False
83,2011-11-19 14:59:00,2011-11-19,79.5,HUMEDO,LATAS,1,False
45,2011-11-19 16:20:00,2011-11-19,97.0,HUMEDO,LATAS,1,False
177,2011-11-19 15:01:00,2011-11-19,20.75,HUMEDO,LATAS,1,False
251,2011-11-19 14:15:00,2011-11-19,86.0,HUMEDO,LATAS,1,False
46,2011-11-19 10:57:00,2011-11-19,24.0,HUMEDO,LATAS,1,False
177,2011-11-19 13:04:00,2011-11-19,5.0,HUMEDO,LATAS,1,False
267,2011-11-19 09:22:00,2011-11-19,15.0,HUMEDO,LATAS,1,False
234,2011-11-19 13:41:00,2011-11-19,79.5,HUMEDO,LATAS,1,False
54,2011-11-21 15:26:00,2011-11-21,72.25,HUMEDO,LATAS,1,False
267,2011-11-21 14:52:00,2011-11-21,240.5,HUMEDO,LATAS,1,False
267,2011-11-21 14:50:00,2011-11-21,9.0,HUMEDO,LATAS,1,False
267,2011-11-21 14:41:00,2011-11-21,4.5,HUMEDO,LATAS,1,False
247,2011-11-21 12:13:00,2011-11-21,76.0,HUMEDO,LATAS,1,False
46,2011-11-21 11:02:00,2011-11-21,30.0,HUMEDO,LATAS,1,False
251,2011-11-21 10:48:00,2011-11-21,33.0,HUMEDO,LATAS,1,False
278,2011-11-21 10:31:00,2011-11-21,66.0,HUMEDO,LATAS,1,False
278,2011-11-21 10:30:00,2011-11-21,66.0,HUMEDO,LATAS,1,False
278,2011-11-21 10:29:00,2011-11-21,66.0,HUMEDO,LATAS,1,False
278,2011-11-21 10:28:00,2011-11-21,66.0,HUMEDO,LATAS,1,False
251,2011-11-21 10:43:00,2011-11-21,33.0,HUMEDO,LATAS,1,False
45,2011-11-22 15:33:00,2011-11-22,93.25,HUMEDO,LATAS,1,False
45,2011-11-22 15:29:00,2011-11-22,78.75,HUMEDO,LATAS,1,False
54,2011-11-22 16:24:00,2011-11-22,48.0,HUMEDO,LATAS,1,False
54,2011-11-22 14:15:00,2011-11-22,73.25,HUMEDO,LATAS,1,False
177,2011-11-22 14:46:00,2011-11-22,2.0,HUMEDO,LATAS,1,False
237,2011-11-23 07:23:00,2011-11-23,48.0,HUMEDO,LATAS,1,False
46,2011-11-23 07:31:00,2011-11-23,5.75,HUMEDO,LATAS,1,False
193,2011-11-23 08:23:00,2011-11-23,73.0,HUMEDO,LATAS,1,False
193,2011-11-23 08:28:00,2011-11-23,73.0,HUMEDO,LATAS,1,False
193,2011-11-23 08:32:00,2011-11-23,73.0,HUMEDO,LATAS,1,False
251,2011-11-23 08:34:00,2011-11-23,29.75,HUMEDO,LATAS,1,False
344,2011-11-23 08:53:00,2011-11-23,5.5,HUMEDO,LATAS,1,False
175,2011-11-24 16:48:00,2011-11-24,171.75,HUMEDO,LATAS,1,False
86,2011-11-24 11:08:00,2011-11-24,74.5,HUMEDO,LATAS,1,False
54,2011-11-24 09:10:00,2011-11-24,70.0,HUMEDO,LATAS,1,False
251,2011-11-24 08:18:00,2011-11-24,55.0,HUMEDO,LATAS,1,False
177,2011-11-24 08:16:00,2011-11-24,4.25,HUMEDO,LATAS,1,False
56,2011-11-24 08:15:00,2011-11-24,31.5,HUMEDO,LATAS,1,False
230,2011-11-24 08:12:00,2011-11-24,114.0,HUMEDO,LATAS,1,False
86,2011-11-24 11:09:00,2011-11-24,1.95,SECO,QUINTALES,1,False
251,2011-11-24 08:10:00,2011-11-24,86.75,HUMEDO,LATAS,1,False
236,2011-11-24 08:07:00,2011-11-24,28.5,HUMEDO,LATAS,1,False
56,2011-11-24 08:06:00,2011-11-24,36.0,HUMEDO,LATAS,1,False
230,2011-11-24 08:03:00,2011-11-24,43.25,HUMEDO,LATAS,1,False
251,2011-11-24 08:00:00,2011-11-24,85.75,HUMEDO,LATAS,1,False
282,2011-11-24 07:58:00,2011-11-24,69.0,HUMEDO,LATAS,1,False
54,2011-11-24 08:11:00,2011-11-24,139.75,HUMEDO,LATAS,1,False
46,2011-11-25 10:27:00,2011-11-25,17.0,HUMEDO,LATAS,1,False
46,2011-11-25 10:31:00,2011-11-25,14.5,HUMEDO,LATAS,1,False
267,2011-11-25 14:33:00,2011-11-25,14.5,HUMEDO,LATAS,1,False
267,2011-11-25 14:44:00,2011-11-25,45.5,HUMEDO,LATAS,1,False
45,2011-11-26 17:05:00,2011-11-26,74.25,HUMEDO,LATAS,1,False
193,2011-11-26 16:09:00,2011-11-26,58.0,HUMEDO,LATAS,1,False
114,2011-11-26 13:48:00,2011-11-26,159.25,HUMEDO,LATAS,1,False
113,2011-11-26 13:34:00,2011-11-26,62.0,HUMEDO,LATAS,1,False
237,2011-11-26 10:32:00,2011-11-26,19.25,HUMEDO,LATAS,1,False
251,2011-11-26 10:23:00,2011-11-26,66.75,HUMEDO,LATAS,1,False
125,2011-11-26 09:37:00,2011-11-26,24.25,HUMEDO,LATAS,1,False
54,2011-11-26 07:47:00,2011-11-26,44.0,HUMEDO,LATAS,1,False
54,2011-11-26 13:31:00,2011-11-26,44.0,HUMEDO,LATAS,1,False
177,2011-11-27 08:56:00,2011-11-27,3.25,HUMEDO,LATAS,1,False
113,2011-11-27 09:45:00,2011-11-27,52.25,HUMEDO,LATAS,1,False
46,2011-11-27 14:59:00,2011-11-27,16.0,HUMEDO,LATAS,1,False
255,2011-11-27 15:30:00,2011-11-27,30.0,HUMEDO,LATAS,1,False
150,2011-11-27 15:31:00,2011-11-27,20.25,HUMEDO,LATAS,1,False
230,2011-11-27 16:48:00,2011-11-27,12.5,HUMEDO,LATAS,1,False
193,2011-11-28 15:53:00,2011-11-28,20.5,HUMEDO,LATAS,1,False
344,2011-11-29 12:54:00,2011-11-29,2.25,HUMEDO,LATAS,1,False
193,2011-11-29 12:50:00,2011-11-29,100.0,HUMEDO,LATAS,1,False
38,2011-11-29 12:34:00,2011-11-29,5.0,HUMEDO,LATAS,1,False
38,2011-11-29 12:38:00,2011-11-29,66.0,HUMEDO,LATAS,1,False
113,2011-11-29 12:43:00,2011-11-29,68.0,HUMEDO,LATAS,1,False
54,2011-11-30 07:41:26,2011-11-30,27.0,HUMEDO,LATAS,1,False
177,2011-11-30 08:57:29,2011-11-30,7.0,HUMEDO,LATAS,1,False
177,2011-11-30 09:16:15,2011-11-30,8.0,HUMEDO,LATAS,1,False
150,2011-11-30 10:05:54,2011-11-30,10.75,HUMEDO,LATAS,1,False
46,2011-11-30 10:15:07,2011-11-30,7.25,HUMEDO,LATAS,1,False
332,2011-11-30 10:53:18,2011-11-30,6.0,HUMEDO,LATAS,1,False
234,2011-11-30 11:21:10,2011-11-30,9.0,HUMEDO,LATAS,1,False
125,2011-11-30 13:18:36,2011-11-30,50.25,HUMEDO,LATAS,1,False
113,2011-11-30 13:42:26,2011-11-30,45.75,HUMEDO,LATAS,1,False
54,2011-12-01 16:48:13,2011-12-01,36.75,HUMEDO,LATAS,1,False
347,2011-12-01 16:44:30,2011-12-01,101.75,HUMEDO,LATAS,1,False
277,2011-12-01 16:07:41,2011-12-01,1.16,SECO,LATAS,1,False
230,2011-12-01 15:06:39,2011-12-01,17.75,HUMEDO,LATAS,1,False
332,2011-12-01 16:39:59,2011-12-01,7.5,HUMEDO,LATAS,1,False
349,2011-12-01 14:30:12,2011-12-01,28.5,HUMEDO,LATAS,1,False
177,2011-12-01 10:57:30,2011-12-01,5.0,HUMEDO,LATAS,1,False
175,2011-12-01 09:24:55,2011-12-01,388.25,HUMEDO,LATAS,1,False
54,2011-12-01 14:43:44,2011-12-01,55.0,HUMEDO,LATAS,1,False
54,2011-12-02 17:07:58,2011-12-02,17.0,HUMEDO,LATAS,1,False
125,2011-12-02 16:57:22,2011-12-02,89.5,HUMEDO,LATAS,1,False
46,2011-12-02 16:42:03,2011-12-02,57.0,HUMEDO,LATAS,1,False
350,2011-12-02 14:22:41,2011-12-02,9.5,HUMEDO,LATAS,1,False
45,2011-12-02 15:12:11,2011-12-02,99.75,HUMEDO,LATAS,1,False
247,2011-12-02 13:11:19,2011-12-02,46.5,HUMEDO,LATAS,1,False
46,2011-12-02 10:11:50,2011-12-02,35.0,HUMEDO,LATAS,1,False
175,2011-12-02 08:39:20,2011-12-02,391.0,HUMEDO,LATAS,1,False
113,2011-12-02 13:41:55,2011-12-02,74.25,HUMEDO,LATAS,1,False
56,2011-12-03 10:42:08,2011-12-03,15.0,HUMEDO,LATAS,1,False
54,2011-12-03 14:13:22,2011-12-03,66.75,HUMEDO,LATAS,1,False
230,2011-12-03 14:47:22,2011-12-03,78.25,HUMEDO,LATAS,1,False
251,2011-12-03 12:18:45,2011-12-03,91.5,HUMEDO,LATAS,1,False
177,2011-12-03 11:15:02,2011-12-03,5.0,HUMEDO,LATAS,1,False
351,2011-12-03 10:42:53,2011-12-03,3.0,HUMEDO,LATAS,1,False
251,2011-12-03 10:37:49,2011-12-03,29.0,HUMEDO,LATAS,1,False
54,2011-12-03 14:11:42,2011-12-03,76.0,HUMEDO,LATAS,1,False
46,2011-12-03 10:22:31,2011-12-03,7.75,HUMEDO,LATAS,1,False
175,2011-12-03 10:10:47,2011-12-03,93.5,HUMEDO,LATAS,1,False
86,2011-12-03 10:02:04,2011-12-03,3.84,SECO,LATAS,1,False
86,2011-12-03 09:58:01,2011-12-03,66.75,HUMEDO,LATAS,1,False
350,2011-12-03 09:12:09,2011-12-03,8.0,HUMEDO,LATAS,1,False
237,2011-12-03 09:08:08,2011-12-03,18.5,HUMEDO,LATAS,1,False
234,2011-12-03 10:34:56,2011-12-03,88.25,HUMEDO,LATAS,1,False
38,2011-12-04 17:08:20,2011-12-04,99.5,HUMEDO,LATAS,1,False
175,2011-12-04 16:44:06,2011-12-04,82.5,HUMEDO,LATAS,1,False
83,2011-12-04 13:50:00,2011-12-04,73.5,HUMEDO,LATAS,1,False
54,2011-12-04 13:22:45,2011-12-04,6.0,HUMEDO,LATAS,1,False
38,2011-12-04 08:15:38,2011-12-04,85.5,HUMEDO,LATAS,1,False
137,2011-12-04 08:14:02,2011-12-04,70.0,HUMEDO,LATAS,1,False
46,2011-12-04 13:36:33,2011-12-04,53.0,HUMEDO,LATAS,1,False
177,2011-12-05 10:51:17,2011-12-05,5.0,HUMEDO,LATAS,1,False
251,2011-12-05 11:06:37,2011-12-05,85.0,HUMEDO,LATAS,1,False
175,2011-12-05 11:09:36,2011-12-05,11.0,HUMEDO,LATAS,1,False
177,2011-12-05 16:48:20,2011-12-05,2.0,HUMEDO,LATAS,1,False
177,2011-12-06 14:32:17,2011-12-06,7.75,HUMEDO,LATAS,1,False
230,2011-12-06 14:20:42,2011-12-06,39.5,HUMEDO,LATAS,1,False
113,2011-12-06 16:18:02,2011-12-06,10.5,HUMEDO,LATAS,1,False
127,2011-12-06 12:56:31,2011-12-06,22.75,HUMEDO,LATAS,1,False
353,2011-12-06 09:15:19,2011-12-06,2.0,HUMEDO,LATAS,1,False
251,2011-12-06 13:36:29,2011-12-06,80.75,HUMEDO,LATAS,1,False
177,2011-12-07 11:22:10,2011-12-07,22.0,HUMEDO,LATAS,1,False
